name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Копейск,2022-12-01T21:02:20+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Реутов,2022-12-01T21:04:36+0300
Руководитель проектов,150000,180000,RUR,Москва,2022-12-01T20:50:10+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Рыбинск,2022-12-01T21:21:09+0300
Специалист службы поддержки в Яндекс Бизнес,26000,33800,RUR,Нефтеюганск,2022-12-01T21:15:58+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Махачкала,2022-12-01T20:53:53+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Дзержинск (Нижегородская область),2022-12-01T21:21:09+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Ногинск,2022-12-01T21:26:21+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Сызрань,2022-12-01T21:02:20+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Артем,2022-12-01T21:04:36+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Ульяновск,2022-12-01T20:53:53+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Элиста,2022-12-01T21:04:36+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Норильск,2022-12-01T21:28:37+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Батайск,2022-12-01T21:21:09+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Брянск,2022-12-01T20:53:53+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Самара,2022-12-01T20:53:53+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Новочебоксарск,2022-12-01T21:02:20+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Прокопьевск,2022-12-01T20:57:48+0300
