name,salary_from,salary_to,salary_currency,area_name,published_at
Ведущий сетевой инженер в ЦОД,100000,170000,RUR,Челябинск,2022-12-01T11:46:54+0300
Токарь-расточник,130000,,RUR,Киров (Кировская область),2022-12-01T11:39:09+0300
Строгальщик (г. Челябинск),105000,,RUR,Копейск,2022-12-01T10:40:00+0300
Токарь,40000,106000,RUR,Подольск (Московская область),2022-12-01T11:12:26+0300
Слесарь (Механик) по ремонту и обслуживанию дорожно-строительной техники,65000,,RUR,Химки,2022-12-01T11:55:06+0300
Механик,50000,,RUR,Бийск,2022-12-01T10:41:17+0300
Маркетолог-аналитик,35000,,RUR,Курск,2022-12-01T10:26:36+0300
Токарь,121000,127000,RUR,Новомосковск (Тульская область),2022-12-01T11:43:56+0300
Токарь,121000,127000,RUR,Миасс,2022-12-01T11:43:56+0300
Шлифовщик,120000,,RUR,Нижний Тагил,2022-12-01T11:36:53+0300
Фрезеровщик,103000,,RUR,Казань,2022-12-01T10:55:30+0300
"Full stack разработчик Asp.Net, MVC (удаленно)",180000,250000,RUR,Красноярск,2022-12-01T11:43:35+0300
Инженер по обслуживанию систем безопасности,50000,,RUR,Армавир,2022-12-01T11:12:48+0300
Токарь-расточник,140000,,RUR,Пермь,2022-12-01T11:31:48+0300
Инженер-электрик,60000,,RUR,Санкт-Петербург,2022-12-01T11:12:48+0300
Техник лаборатории неразрушающего контроля,100000,100000,RUR,Самара,2022-12-01T10:05:54+0300
Строгальщик (г. Челябинск),105000,,RUR,Волжский (Волгоградская область),2022-12-01T10:46:33+0300
Токарь-расточник,30000,,RUR,Саранск,2022-12-01T10:54:51+0300
Главный механик,60000,,RUR,Ишим,2022-12-01T11:58:18+0300
Инженер связи (монтажник),40000,,RUR,Архангельск,2022-12-01T10:42:17+0300
Шлифовщик,120000,,RUR,Радужный (Ханты-Мансийский АО - Югра),2022-12-01T11:36:53+0300
Оператор станков с ПУ,103000,,RUR,Казань,2022-12-01T10:55:37+0300
"Токарь( Электронное оборудование, приборы и компоненты)",50000,55000,RUR,Санкт-Петербург,2022-12-01T10:26:38+0300
Строгальщик (г. Челябинск),105000,,RUR,Оренбург,2022-12-01T10:31:30+0300
Токарь-расточник,140000,,RUR,Томск,2022-12-01T11:31:48+0300
Системный администратор,,50000,RUR,Владимир,2022-12-01T10:50:38+0300
Проект-менеджер по разработке сайтов,40000,120000,RUR,Тюмень,2022-12-01T11:10:01+0300
Шлифовщик,120000,,RUR,Стрежевой,2022-12-01T11:36:53+0300
Механик,50000,,RUR,Рубцовск,2022-12-01T10:41:17+0300
Оператор станков с ПУ (фрезерная группа),74000,120000,RUR,Санкт-Петербург,2022-12-01T10:25:40+0300
Специалист (по сопровождению 1С),150000,150000,RUR,Кемерово,2022-12-01T11:23:06+0300
Шлифовщик,120000,,RUR,Нижневартовск,2022-12-01T11:36:53+0300
Токарь-расточник,140000,,RUR,Курган,2022-12-01T11:31:48+0300
Шлифовщик,120000,,RUR,Мегион,2022-12-01T11:36:53+0300
Системный администратор,150000,,RUR,Москва,2022-12-01T10:19:15+0300
Механик участка,,67000,RUR,Тольятти,2022-12-01T11:55:57+0300
Токарь,100000,130000,RUR,Сарапул,2022-12-01T10:27:12+0300
Java-разработчик,,300000,RUR,Новосибирск,2022-12-01T10:50:47+0300
Механик по выпуску автотранспорта,100000,,RUR,Новый Уренгой,2022-12-01T10:49:11+0300
Программист 1C-Битрикс,55000,100000,RUR,Ростов-на-Дону,2022-12-01T11:08:28+0300
DevOps инженер,,250000,RUR,Москва,2022-12-01T10:18:56+0300
Строгальщик (г. Челябинск),105000,,RUR,Магнитогорск,2022-12-01T10:40:00+0300
Токарь-расточник,140000,,RUR,Нижний Тагил,2022-12-01T11:31:48+0300
Шлифовщик,120000,,RUR,Курган,2022-12-01T11:36:53+0300
Резьбошлифовщик,30000,,RUR,Саранск,2022-12-01T10:50:46+0300
Шлифовщик,120000,,RUR,Омск,2022-12-01T11:36:53+0300
Токарь,121000,127000,RUR,Рязань,2022-12-01T11:43:56+0300
Токарь,121000,127000,RUR,Алатырь,2022-12-01T11:43:56+0300
Шлифовщик,120000,,RUR,Пермь,2022-12-01T11:36:53+0300
Водитель на самосвал,125000,135000,RUR,Мурманск,2022-12-01T11:48:16+0300
Механик по выпуску спецтехники и автотранспорта,60000,60000,RUR,Реж,2022-12-01T10:14:59+0300
Специалист первой линии технической поддержки (Служба Заботы),,30000,RUR,Санкт-Петербург,2022-12-01T10:47:05+0300
Мастер по ремонту телефонов (Кизляр),40000,,RUR,Кизляр,2022-12-01T11:34:44+0300
Строгальщик (г. Челябинск),105000,,RUR,Белорецк,2022-12-01T10:41:53+0300
Программист Lotus Notes,,220000,RUR,Москва,2022-12-01T11:29:40+0300
Журналист-редактор,,15000,RUR,Казань,2022-12-01T10:52:25+0300
Java-разработчик,,300000,RUR,Владимир,2022-12-01T10:50:47+0300
Токарь,121000,127000,RUR,Балаково,2022-12-01T11:43:56+0300
Журналист-редактор,,15000,RUR,Самара,2022-12-01T10:32:09+0300
Ведущий программист 1С,130000,,RUR,Таганрог,2022-12-01T10:27:41+0300
Токарь-расточник,140000,,RUR,Нижневартовск,2022-12-01T11:31:48+0300
Механик по выпуску автотранспорта,100000,,RUR,Тарко-Сале,2022-12-01T10:51:25+0300
Техник лаборатории неразрушающего контроля,100000,100000,RUR,Оренбург,2022-12-01T10:05:54+0300
Токарь-расточник,140000,,RUR,Омск,2022-12-01T11:31:48+0300
Системный администратор с функциями АХО,85000,,RUR,Москва,2022-12-01T10:21:29+0300
Администратор проекта (руководитель проекта it),80000,90000,RUR,Санкт-Петербург,2022-12-01T10:26:50+0300
Токарь-расточник,140000,,RUR,Тобольск,2022-12-01T11:31:48+0300
Шлифовщик,120000,,RUR,Тобольск,2022-12-01T11:36:53+0300
Инженер отдела транспортной безопасности на ХАРАСАВЭЙСКОЕ ГКМ (безопасность дорожного движения),120000,150000,RUR,Новый Уренгой,2022-12-01T10:45:46+0300
Программист 1С,100000,,RUR,Таганрог,2022-12-01T10:28:06+0300
Бизнес-аналитик (проекты по автоматизации),100000,,RUR,Санкт-Петербург,2022-12-01T11:17:49+0300
Механик по выпуску автотранспорта,100000,,RUR,Губкинский,2022-12-01T10:50:22+0300
Оператор станков с ЧПУ,35000,70000,RUR,Ульяновск,2022-12-01T11:12:46+0300
Механик,80000,,RUR,Новый Уренгой,2022-12-01T11:12:48+0300
Токарь (ремонтно-механический цех),48000,,RUR,Санкт-Петербург,2022-12-01T11:55:09+0300
Токарь-расточник,140000,,RUR,Радужный (Ханты-Мансийский АО - Югра),2022-12-01T11:31:48+0300
Backend Developer C# (Remote),1000,2500,USD,Екатеринбург,2022-12-01T10:49:28+0300
Ведущий программист 1С/удаленно (middle),170000,210000,RUR,Красноярск,2022-12-01T11:44:01+0300
Мастер / Инженер по ремонту телефонов,100000,130000,RUR,Подольск (Московская область),2022-12-01T10:15:02+0300
Наладчик станков с ЧПУ (токарно-фрезерная группа),100000,,RUR,Санкт-Петербург,2022-12-01T11:12:20+0300
Программист WMS,120000,160000,RUR,Красноярск,2022-12-01T11:43:13+0300
Backend Developer C# (Remote),1000,2500,USD,Казань,2022-12-01T10:49:28+0300
Токарь-карусельщик 6 разряда,130000,150000,RUR,Волгодонск,2022-12-01T11:55:45+0300
Токарь (крупногабаритные),115000,,RUR,Рубцовск,2022-12-01T11:19:34+0300
Токарь-расточник,140000,,RUR,Стрежевой,2022-12-01T11:31:48+0300
Разработчик C# .Net (middle),180000,240000,RUR,Москва,2022-12-01T11:30:21+0300
Координатор проекта,35000,50000,RUR,Тамбов,2022-12-01T11:16:02+0300
Фрезеровщик,60000,,RUR,Санкт-Петербург,2022-12-01T11:31:11+0300
Наладчик ГПМ,135000,135000,RUR,Уфа,2022-12-01T11:48:16+0300
Инженер по ремонту телефонов,35000,60000,RUR,Новочеркасск,2022-12-01T10:16:31+0300
Начальник смены (инженер электронной техники),80000,,RUR,Санкт-Петербург,2022-12-01T11:55:14+0300
Оператор станков с ЧПУ,80000,80000,RUR,Санкт-Петербург,2022-12-01T11:30:24+0300
Токарь-расточник,65000,,RUR,Санкт-Петербург,2022-12-01T11:30:34+0300
Консультант по внедрению информационных систем (аналитик по внедрению),130000,,RUR,Казань,2022-12-01T10:01:27+0300
Консультант по внедрению информационных систем (аналитик по внедрению),130000,,RUR,Новосибирск,2022-12-01T10:01:27+0300
Frontend / Фронтенд разработчик,80000,170000,RUR,Москва,2022-12-01T13:26:11+0300
Графический дизайнер,170000,250000,KZT,Астана,2022-12-01T12:10:36+0300
Руководитель проектов,180000,220000,RUR,Москва,2022-12-01T13:12:24+0300
Системный администратор,1500,,BYR,Минск,2022-12-01T13:01:46+0300
Верстальщик на Webflow/No Code,106000,106000,RUR,Москва,2022-12-01T12:55:03+0300
Сервисный инженер / Инженер техподдержки,40000,,RUR,Ставрополь,2022-12-01T12:14:48+0300
Менеджер по продажам с технической поддержкой,150000,200000,RUR,Санкт-Петербург,2022-12-01T12:30:17+0300
Сервис-инженер,80000,100000,RUR,Санкт-Петербург,2022-12-01T12:18:38+0300
Оператор станка с ЧПУ,1800,2500,BYR,Минск,2022-12-01T12:46:10+0300
Аналитик-консультант 1С8,20000,75000,RUR,Пенза,2022-12-01T13:27:33+0300
Заместитель главного редактора по сайту,25000,45000,RUR,Омск,2022-12-01T13:10:26+0300
Дизайнер / Инженер-проектировщик,35000,,RUR,Краснодар,2022-12-01T12:13:47+0300
"Графический дизайнер в офис (маркетплейсы Wildberries, Ozon)",60000,,RUR,Москва,2022-12-01T13:33:46+0300
Журналист-копирайтер,45000,80000,RUR,Москва,2022-12-01T12:15:15+0300
Специалист технической поддержки,30000,,RUR,Пушкино (Московская область),2022-12-01T13:05:15+0300
Фронтенд разработчик middle Vue / React (кандидаты только из Новосибирска),100000,,RUR,Новосибирск,2022-12-01T13:00:06+0300
Оператор станков с ЧПУ,80000,120000,RUR,Москва,2022-12-01T12:52:39+0300
Техник по обслуживанию слаботочных систем,108000,120000,RUR,Хабаровск,2022-12-01T13:10:27+0300
Программист Front-end vue.js,150000,200000,RUR,Москва,2022-12-01T12:58:45+0300
Специалист по транспортному моделированию,80000,110000,RUR,Санкт-Петербург,2022-12-01T12:50:41+0300
Стажер программист 1С,,48300,RUR,Самара,2022-12-01T13:17:35+0300
Руководитель группы тестирования (удаленно),250000,330000,RUR,Москва,2022-12-01T12:56:49+0300
Аналитик (бизнес),,220000,RUR,Москва,2022-12-01T13:55:01+0300
Тестировщик ПО,120000,,RUR,Москва,2022-12-01T13:35:09+0300
Специалист по защите информации,40000,,RUR,Балтийск,2022-12-01T12:21:40+0300
Электромеханик по лифтам,100000,,RUR,Москва,2022-12-01T13:11:15+0300
Графический дизайнер,25000,60000,RUR,Тольятти,2022-12-01T13:31:47+0300
Веб-программист (back-end developer),55000,,RUR,Архангельск,2022-12-01T12:59:43+0300
Системный администратор поддержки,,100000,RUR,Подольск (Московская область),2022-12-01T12:08:13+0300
React developer / React разработчик (Middle и выше),2500,3500,USD,Тбилиси,2022-12-01T13:10:13+0300
Дизайнер-чертежник,40000,,RUR,Санкт-Петербург,2022-12-01T13:04:13+0300
Дизайнер,40000,,RUR,Омск,2022-12-01T12:40:33+0300
Инженер по технической поддержке,,75600,RUR,Одинцово,2022-12-01T12:03:33+0300
Специалист технической IT-поддержки,150000,200000,KZT,Алматы,2022-12-01T13:24:08+0300
Аналитик,250000,250000,KZT,Алматы,2022-12-01T13:49:58+0300
Токарь-расточник,40000,65000,RUR,Пенза,2022-12-01T12:04:13+0300
Python разработчик (аккредитованная компания),270000,,RUR,Москва,2022-12-01T13:58:01+0300
Дизайнер,85000,,RUR,Москва,2022-12-01T12:47:43+0300
Инженер-программист,90000,,RUR,Москва,2022-12-01T12:54:50+0300
Инженер по техническому обслуживанию систем безопасности,45000,,RUR,Казань,2022-12-01T13:10:05+0300
React developer / React разработчик (Middle),2500,3500,USD,Баку,2022-12-01T13:10:13+0300
Plant production system manager/Lean manager,90000,,RUR,Уфа,2022-12-01T13:10:28+0300
Инженер программист БД,50000,50000,RUR,Киров (Кировская область),2022-12-01T13:10:11+0300
Механик по транспорту,50000,,RUR,Москва,2022-12-01T12:45:01+0300
Специалист чат-поддержки,33000,38000,RUR,Вологда,2022-12-01T12:15:28+0300
Инженер по ремонту оборудования,200000,250000,KZT,Алматы,2022-12-01T12:31:35+0300
Художник компьютерной графики,35000,,RUR,Ханты-Мансийск,2022-12-01T13:31:12+0300
Токарь,35000,60000,RUR,Пенза,2022-12-01T12:07:58+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Псков,2022-12-01T12:28:53+0300
Ведущий разработчик на ServiceNow/SimpleOne,140000,200000,RUR,Москва,2022-12-01T12:51:02+0300
Оператор чат-поддержки,33000,38000,RUR,Липецк,2022-12-01T12:15:14+0300
Ведущий инженер-программист,150000,,RUR,Омск,2022-12-01T13:32:49+0300
Консультант-аналитик 1С,90000,,RUR,Санкт-Петербург,2022-12-01T13:05:43+0300
Фрезеровщик,110000,,RUR,Екатеринбург,2022-12-01T13:05:28+0300
Программист 1С,150000,,RUR,Брянск,2022-12-01T13:10:22+0300
Журналист,40000,,RUR,Владикавказ,2022-12-01T13:45:17+0300
Рабочий по комплексному обслуживанию зданий,16000,,RUR,Нижний Тагил,2022-12-01T12:38:28+0300
Разработчик Webtutor,180000,,RUR,Москва,2022-12-01T12:17:32+0300
Инженер по надежности,100000,,RUR,Егорьевск,2022-12-01T12:14:51+0300
Старший дизайнер | Senior Designer,150000,,RUR,Москва,2022-12-01T13:54:29+0300
Специалист группы информационных систем 1С,75000,,RUR,Новосибирск,2022-12-01T12:11:26+0300
Специалист чат-поддержки,33000,38000,RUR,Иваново (Ивановская область),2022-12-01T12:14:58+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Бежецк,2022-12-01T12:28:53+0300
Главный механик,60000,80000,RUR,Полевской,2022-12-01T12:33:13+0300
Программист 1С,150000,,RUR,Смоленск,2022-12-01T13:10:22+0300
Специалист по защите информации,40000,,RUR,Светлый,2022-12-01T12:21:40+0300
Middle/Middle+ IOS разработчик (удаленно),120000,200000,RUR,Санкт-Петербург,2022-12-01T12:56:27+0300
Оператор станков с ПУ,40000,55000,RUR,Пенза,2022-12-01T12:03:45+0300
Фрезеровщик,35000,55000,RUR,Пенза,2022-12-01T12:07:06+0300
Контролер технического состояния транспортных средств (в Комсомольск-на-Амуре),60000,,RUR,Комсомольск-на-Амуре,2022-12-01T13:00:21+0300
"Автомеханик, автослесарь",60000,130000,RUR,Казань,2022-12-01T13:25:08+0300
Токарь (г. Великие Луки),120000,,RUR,Старая Русса,2022-12-01T12:24:29+0300
Заместитель руководителя проекта в HR (аналитик данных),,130000,RUR,Набережные Челны,2022-12-01T12:44:28+0300
Специалист по защите информации,36000,36000,RUR,Белгород,2022-12-01T13:55:10+0300
Программист 1C,100000,120000,RUR,Подольск (Московская область),2022-12-01T12:45:32+0300
Фрезеровщик,114000,,RUR,Альметьевск,2022-12-01T12:33:58+0300
Оператор ЧПУ / Наладчик ЧПУ,110000,,RUR,Владимир,2022-12-01T13:23:54+0300
Фрезеровщик,110000,,RUR,Тула,2022-12-01T13:05:28+0300
Технический специалист (дежурный климатехник),60000,,RUR,Москва,2022-12-01T12:04:34+0300
Фрезеровщик (отдел нестандартного оборудования),55000,70000,RUR,Санкт-Петербург,2022-12-01T13:05:42+0300
Оператор станка \ оператор оборудования,60000,,RUR,Щелково,2022-12-01T13:05:35+0300
Токарь (в г. Арзамас),100000,,RUR,Саратов,2022-12-01T13:52:42+0300
Токарь (г. Великие Луки),120000,,RUR,Чудово,2022-12-01T12:24:29+0300
Фрезеровщик,110000,,RUR,Тверь,2022-12-01T13:05:28+0300
Токарь - универсал,110000,140000,RUR,Омск,2022-12-01T13:44:13+0300
Токарь (г. Шумерля),100000,110000,RUR,Чебоксары,2022-12-01T12:10:56+0300
Фрезеровщик,110000,,RUR,Орел,2022-12-01T13:05:28+0300
Специалист технической поддержки,50000,,RUR,Санкт-Петербург,2022-12-01T12:20:25+0300
Монтажник связи,35000,,RUR,Пермь,2022-12-01T12:56:48+0300
Программист 1С,150000,,RUR,Пермь,2022-12-01T13:10:22+0300
Middle Backend Developer,180000,250000,RUR,Москва,2022-12-01T13:55:38+0300
Электромеханик (производственная линия),75000,,RUR,Новокузнецк,2022-12-01T12:01:29+0300
Электромеханик (производственная линия),75000,,RUR,Мыски,2022-12-01T12:01:29+0300
Токарь (г. Великие Луки),120000,,RUR,Ржев,2022-12-01T12:24:29+0300
Токарь (в г. Арзамас),100000,,RUR,Пенза,2022-12-01T13:52:42+0300
Программист 1С,150000,,RUR,Орел,2022-12-01T13:10:22+0300
Токарь (в г. Арзамас),100000,,RUR,Волгоград,2022-12-01T13:52:42+0300
Программист 1С,150000,,RUR,Владимир,2022-12-01T13:10:22+0300
Шлифовщик 3-5 разряда,,80000,RUR,Сергиев Посад,2022-12-01T13:42:11+0300
Токарь (г. Великие Луки),120000,,RUR,Бежецк,2022-12-01T12:24:29+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Калязин,2022-12-01T12:28:53+0300
Дизайнер маркетолог,30000,35000,RUR,Барнаул,2022-12-01T12:00:50+0300
Руководитель проекта,80000,,RUR,Ставрополь,2022-12-01T12:10:50+0300
Ученик полировщика/вальцовщика/протяжчика/оператора станков с ПУ/ЧПУ,32625,39150,RUR,Наро-Фоминск,2022-12-01T13:28:22+0300
Программист 1С,150000,,RUR,Курск,2022-12-01T13:10:22+0300
Токарь (г. Шумерля),100000,110000,RUR,Альметьевск,2022-12-01T12:16:43+0300
Программист 1С,150000,,RUR,Тамбов,2022-12-01T13:10:22+0300
Токарь (г. Шумерля),100000,110000,RUR,Абдулино,2022-12-01T12:19:02+0300
Оператор ЧПУ / Наладчик ЧПУ,110000,,RUR,Арзамас,2022-12-01T13:23:54+0300
Продуктовый дизайнер (UX/UI / Product designer),160000,,RUR,Москва,2022-12-01T12:30:22+0300
Системный администратор,,40000,RUR,Саратов,2022-12-01T13:59:57+0300
QA Automation Engineer,,260000,RUR,Москва,2022-12-01T12:31:51+0300
Токарь (г. Шумерля),100000,110000,RUR,Алатырь,2022-12-01T12:13:54+0300
Программист 1C,100000,120000,RUR,Москва,2022-12-01T12:45:32+0300
Токарь (г. Великие Луки),120000,,RUR,Псков,2022-12-01T12:24:29+0300
Оператор ЧПУ / Наладчик ЧПУ,110000,,RUR,Стерлитамак,2022-12-01T13:23:54+0300
Токарь (г. Шумерля),100000,110000,RUR,Новочебоксарск,2022-12-01T12:13:54+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Старая Русса,2022-12-01T12:28:53+0300
Инженер-программист II категории,22000,,RUR,Киров (Кировская область),2022-12-01T12:16:41+0300
Наладчик,35000,45000,RUR,Чебоксары,2022-12-01T12:28:41+0300
Инженер-программист 1 категории,27025,,RUR,Киров (Кировская область),2022-12-01T12:19:36+0300
Фрезеровщик (инструментальный цех),70000,,RUR,Санкт-Петербург,2022-12-01T13:05:43+0300
C#/.Net developer (Gamedev),,5000,EUR,Кипр,2022-12-01T13:49:04+0300
Инженер-механик,50000,,RUR,Санкт-Петербург,2022-12-01T13:05:41+0300
Инженер отдела управления проектами,41000,,RUR,Архангельск,2022-12-01T12:26:55+0300
Оператор ЧПУ / Наладчик ЧПУ,110000,,RUR,Архангельск,2022-12-01T13:23:54+0300
Токарь (г. Шумерля),100000,110000,RUR,Нижнекамск,2022-12-01T12:16:43+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Бологое,2022-12-01T12:28:53+0300
Дизайнер-художник,35000,,RUR,Коломна,2022-12-01T12:08:07+0300
Оператор станка токарно-фрезерной обработки с ЧПУ,60000,,RUR,Санкт-Петербург,2022-12-01T13:56:33+0300
Токарь (г. Великие Луки),120000,,RUR,Бологое,2022-12-01T12:24:29+0300
Инженер отдела технической поддержки,50000,,RUR,Архангельск,2022-12-01T12:36:52+0300
Преподаватель по программированию,45000,120000,KZT,Караганда,2022-12-01T12:18:54+0300
Программист 1С,150000,,RUR,Белгород,2022-12-01T13:10:22+0300
Программист-разработчик,100000,,RUR,Москва,2022-12-01T13:33:37+0300
Программист 1С,150000,,RUR,Самара,2022-12-01T13:10:22+0300
Шлифовщик (инструментальный цех),80000,,RUR,Санкт-Петербург,2022-12-01T13:05:43+0300
Программист 1С,150000,,RUR,Тверь,2022-12-01T13:10:22+0300
Аналитик 1С ERP,100000,200000,RUR,Уфа,2022-12-01T13:10:55+0300
Техник линейных сооружений связи,35000,,RUR,Красноуральск,2022-12-01T13:23:47+0300
Токарь (г. Шумерля),100000,110000,RUR,Лениногорск,2022-12-01T12:16:43+0300
Плавильщик металла и сплавов,60000,,RUR,Москва,2022-12-01T12:02:16+0300
Токарь (г. Великие Луки),120000,,RUR,Кимры,2022-12-01T12:24:29+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Кимры,2022-12-01T12:28:53+0300
Фрезеровщик,110000,,RUR,Липецк,2022-12-01T13:05:28+0300
Координатор сервисной службы,60000,80000,RUR,Владивосток,2022-12-01T12:06:30+0300
Оператор ЧПУ (токарная группа),109000,,RUR,Екатеринбург,2022-12-01T13:58:39+0300
Токарь (г. Шумерля),100000,110000,RUR,Зеленодольск (Республика Татарстан),2022-12-01T12:16:43+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Торжок,2022-12-01T12:28:53+0300
Токарь (г. Великие Луки),120000,,RUR,Торжок,2022-12-01T12:24:29+0300
Фрезеровщик,35000,,RUR,Самара,2022-12-01T13:05:51+0300
Ведущий системный администратор,90000,,RUR,Новосибирск,2022-12-01T12:11:31+0300
UI/UX дизайнер,115000,,RUR,Москва,2022-12-01T12:30:26+0300
Токарь (г. Шумерля),100000,110000,RUR,Канаш,2022-12-01T12:13:54+0300
Оператор ЧПУ / Наладчик ЧПУ,110000,,RUR,Уфа,2022-12-01T13:23:54+0300
Инженер по слаботочным системам,70000,,RUR,Санкт-Петербург,2022-12-01T13:03:02+0300
Токарь (г. Шумерля),100000,110000,RUR,Бугульма,2022-12-01T12:16:43+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Вышний Волочек,2022-12-01T12:28:53+0300
Senior Backend developer (Node.js/Golang),220000,,RUR,Рязань,2022-12-01T12:53:26+0300
Программист 1C,100000,120000,RUR,Троицк (Московская область),2022-12-01T12:45:32+0300
Токарь (г. Великие Луки),120000,,RUR,Вышний Волочек,2022-12-01T12:24:29+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Конаково,2022-12-01T12:28:53+0300
Senior Backend developer (Node.js/Golang),220000,,RUR,Москва,2022-12-01T13:13:18+0300
Фрезеровщик (г. Великие Луки),100000,,RUR,Боровичи,2022-12-01T12:28:53+0300
Программист 1С,,140000,RUR,Челябинск,2022-12-01T13:25:09+0300
Программист 1С,150000,,RUR,Воронеж,2022-12-01T12:10:39+0300
Токарь (г. Великие Луки),120000,,RUR,Боровичи,2022-12-01T12:24:29+0300
Программист 1С,150000,,RUR,Ярославль,2022-12-01T13:10:22+0300
Техник по обслуживанию слаботочных систем,30000,,RUR,Комсомольск-на-Амуре,2022-12-01T13:12:48+0300
Automation QA Engineer / QA-тестировщик автотесты,210000,,RUR,Санкт-Петербург,2022-12-01T13:54:30+0300
Программист 1С,150000,,RUR,Калуга,2022-12-01T13:10:22+0300
C# разработчик (SharePoint),,250000,RUR,Москва,2022-12-01T13:40:20+0300
Инженер-электроник 1 категории,37600,,RUR,Серов,2022-12-01T13:24:15+0300
Сервисный инженер по заправке картриджей (г. Караганда),120000,150000,KZT,Караганда,2022-12-01T12:47:47+0300
Монтажник слаботочных систем,42500,45000,RUR,Москва,2022-12-01T13:05:08+0300
Монтажник слаботочных систем,30000,,RUR,Комсомольск-на-Амуре,2022-12-01T13:10:26+0300
IOS developer,,300000,RUR,Санкт-Петербург,2022-12-01T13:07:38+0300
Строгальщик,109000,,RUR,Екатеринбург,2022-12-01T12:04:44+0300
Senior Product Designer,2000,,USD,Тбилиси,2022-12-01T12:11:43+0300
Java Backend Developer (Remote),1000,3000,USD,Москва,2022-12-01T13:42:51+0300
Программист 1С,150000,,RUR,Тула,2022-12-01T13:10:22+0300
"Оператор фрезерного станка ЧПУ (Дмитровский р-н, РП Некрасовский)",75000,85000,RUR,Лобня,2022-12-01T12:26:22+0300
Оператор станка плазменной резки с ЧПУ,55000,,RUR,Казань,2022-12-01T12:05:46+0300
Электромеханик АЗС,,42640,RUR,Каширское,2022-12-01T12:09:09+0300
"Lead PHP Developer (Symfony, Remote)",150000,200000,RUR,Новосибирск,2022-12-01T13:33:39+0300
Инженер-электроник 2 категории,79100,,RUR,Санкт-Петербург,2022-12-01T12:29:07+0300
Automation QA Engineer / QA-тестировщик автотесты,210000,,RUR,Москва,2022-12-01T13:54:30+0300
Токарь,1200,,BYR,Брест,2022-12-01T12:11:19+0300
Ведущий специалист по информационным технологиям,70000,75000,RUR,Ростов-на-Дону,2022-12-01T13:52:32+0300
"JavaScript, Java, Python, С#, разработчик / developer (Middle/Senior) - преподаватель",300000,600000,KZT,Алматы,2022-12-01T13:56:18+0300
Инженер-механик,30000,,RUR,Ижевск,2022-12-01T13:13:13+0300
Дизайнер мебели по индивидуальным замерам,60000,,RUR,Новосибирск,2022-12-01T12:04:38+0300
Разработчик учебных материалов по направлению «Информационные технологии»,30000,70000,RUR,Москва,2022-12-01T13:35:52+0300
Java Developer (Remote),,3000,USD,Москва,2022-12-01T13:13:46+0300
Фрезеровщик (Нижний Новгород),96000,,RUR,Заволжье,2022-12-01T13:42:46+0300
Инженер-механик,65000,,RUR,Воскресенск,2022-12-01T12:09:43+0300
Ведущий системный инженер,140000,,RUR,Москва,2022-12-01T12:02:57+0300
Оператор гибочного станка,1500,,BYR,Минск,2022-12-01T12:46:48+0300
Наладчик станков с ЧПУ,40000,70000,RUR,Заволжье,2022-12-01T13:47:50+0300
Программист 1С,70000,,RUR,Краснодар,2022-12-01T13:44:02+0300
Токарь-карусельщик 5 разряд,39000,,RUR,Калининград,2022-12-01T13:05:49+0300
Python or C++ Quantitative Developer to Armenia,,5700,USD,Москва,2022-12-01T12:49:24+0300
Инженер - программист 1C,40000,150000,RUR,Уфа,2022-12-01T13:10:56+0300
Middle DevOps Engineer,150000,250000,RUR,Москва,2022-12-01T13:55:02+0300
Механик группы механизации и транспорта (Сланцы) СМиТ,50500,,RUR,Сланцы,2022-12-01T13:01:49+0300
Ведущий инженер / инженер-программист 1С,65000,,RUR,Брянск,2022-12-01T13:06:19+0300
Программист 1С (Удаленно),90000,150000,RUR,Воронеж,2022-12-01T13:57:49+0300
Оператор станков с ПУ (ученик),45000,80000,RUR,Киров (Кировская область),2022-12-01T15:31:49+0300
Fullstack web-разработчик стажер/junior,40000,60000,RUR,Санкт-Петербург,2022-12-01T15:46:00+0300
Системный администратор,40000,,RUR,Ижевск,2022-12-01T15:58:35+0300
3D-дизайнер (визуализатор-экстерьер),800,,USD,Ташкент,2022-12-01T14:24:05+0300
Руководитель транспортного отдела,130000,150000,RUR,Москва,2022-12-01T15:40:36+0300
SMM-менеджер,35000,40000,RUR,Энгельс,2022-12-01T15:37:23+0300
IT специалист,2500000,4000000,UZS,Ташкент,2022-12-01T14:58:14+0300
Дизайнер,,40000,RUR,Смоленск,2022-12-01T14:02:24+0300
Специалист по работе с молодежью / СММ- специалист,24000,,RUR,Ижевск,2022-12-01T14:41:29+0300
Web-дизайнер,45000,,RUR,Санкт-Петербург,2022-12-01T14:40:16+0300
Графический дизайнер,40000,55000,RUR,Ижевск,2022-12-01T14:20:07+0300
Инженер-программист,35000,,RUR,Котлас,2022-12-01T14:53:33+0300
